,ID,V_TOL_venta
938,938,"[2.7, 3.254840895509997, 3.811598638028254, 4.465347354743036, 4.670058085259374, 4.606443631660037, 4.582585885902451, 4.659456506910262, 4.879453196661723, 4.9192293088179735, 4.921870631884312, 4.890058390012977, 4.855604446579309, 5.529144877606595, 5.6017579110985, 5.652343591052036, 5.712250165212174, 5.76178121458118, 5.7618576236979635, 5.7617013047742995, 5.760910875083494, 5.757849247778918, 5.7564942555043315, 5.756772317733, 5.754862251732031, 5.754862251732031, 5.754862251732031, 5.754862251732031, 5.754862251732031, 5.754862251732031, 5.754862251732031, 5.754862251732031, 5.754862251732031, 5.754862251732031, 5.754862251732031, 5.754862251732031, 5.754862251732031, 5.754862251732031, 5.754862251732031, 5.754862251732031]"
939,939,"[4.32, 5.207745432815996, 6.0985578208452065, 7.144555767588859, 7.472092936414999, 7.370309810656059, 7.332137417443922, 7.45513041105642, 7.807125114658757, 7.870766894108758, 7.8749930110149, 7.824093424020764, 7.768967114526895, 8.846631804170553, 8.9628126577576, 9.043749745683257, 9.139600264339478, 9.21884994332989, 9.218972197916742, 9.218722087638879, 9.21745740013359, 9.212558796446269, 9.210390808806931, 9.2108357083728, 9.20777960277125, 9.20777960277125, 9.20777960277125, 9.20777960277125, 9.20777960277125, 9.20777960277125, 9.20777960277125, 9.20777960277125, 9.20777960277125, 9.20777960277125, 9.20777960277125, 9.20777960277125, 9.20777960277125, 9.20777960277125, 9.20777960277125, 9.20777960277125]"
940,940,"[0.54, 0.6509681791019994, 0.7623197276056508, 0.8930694709486073, 0.9340116170518749, 0.9212887263320074, 0.9165171771804902, 0.9318913013820525, 0.9758906393323447, 0.9838458617635948, 0.9843741263768625, 0.9780116780025955, 0.9711208893158618, 1.105828975521319, 1.1203515822197, 1.1304687182104072, 1.1424500330424348, 1.1523562429162362, 1.1523715247395927, 1.1523402609548599, 1.1521821750166987, 1.1515698495557836, 1.1512988511008664, 1.1513544635466, 1.1509724503464063, 1.1509724503464063, 1.1509724503464063, 1.1509724503464063, 1.1509724503464063, 1.1509724503464063, 1.1509724503464063, 1.1509724503464063, 1.1509724503464063, 1.1509724503464063, 1.1509724503464063, 1.1509724503464063, 1.1509724503464063, 1.1509724503464063, 1.1509724503464063, 1.1509724503464063]"
941,941,"[1.62, 1.9529045373059981, 2.286959182816952, 2.6792084128458216, 2.802034851155624, 2.763866178996022, 2.7495515315414703, 2.795673904146157, 2.9276719179970336, 2.951537585290784, 2.9531223791305874, 2.934035034007786, 2.9133626679475855, 3.317486926563957, 3.3610547466590996, 3.3914061546312215, 3.4273500991273043, 3.457068728748708, 3.457114574218778, 3.45702078286458, 3.456546525050096, 3.4547095486673505, 3.4538965533025987, 3.4540633906397997, 3.4529173510392184, 3.4529173510392184, 3.4529173510392184, 3.4529173510392184, 3.4529173510392184, 3.4529173510392184, 3.4529173510392184, 3.4529173510392184, 3.4529173510392184, 3.4529173510392184, 3.4529173510392184, 3.4529173510392184, 3.4529173510392184, 3.4529173510392184, 3.4529173510392184, 3.4529173510392184]"
942,942,"[2.16, 2.603872716407998, 3.0492789104226032, 3.5722778837944293, 3.7360464682074994, 3.6851549053280297, 3.666068708721961, 3.72756520552821, 3.9035625573293786, 3.935383447054379, 3.93749650550745, 3.912046712010382, 3.8844835572634473, 4.423315902085276, 4.4814063288788, 4.521874872841629, 4.569800132169739, 4.609424971664945, 4.609486098958371, 4.6093610438194395, 4.608728700066795, 4.606279398223134, 4.6051954044034655, 4.6054178541864, 4.603889801385625, 4.603889801385625, 4.603889801385625, 4.603889801385625, 4.603889801385625, 4.603889801385625, 4.603889801385625, 4.603889801385625, 4.603889801385625, 4.603889801385625, 4.603889801385625, 4.603889801385625, 4.603889801385625, 4.603889801385625, 4.603889801385625, 4.603889801385625]"
943,943,"[0.54, 0.6509681791019994, 0.7623197276056508, 0.8930694709486073, 0.9340116170518749, 0.9212887263320074, 0.9165171771804902, 0.9318913013820525, 0.9758906393323447, 0.9838458617635948, 0.9843741263768625, 0.9780116780025955, 0.9711208893158618, 1.105828975521319, 1.1203515822197, 1.1304687182104072, 1.1424500330424348, 1.1523562429162362, 1.1523715247395927, 1.1523402609548599, 1.1521821750166987, 1.1515698495557836, 1.1512988511008664, 1.1513544635466, 1.1509724503464063, 1.1509724503464063, 1.1509724503464063, 1.1509724503464063, 1.1509724503464063, 1.1509724503464063, 1.1509724503464063, 1.1509724503464063, 1.1509724503464063, 1.1509724503464063, 1.1509724503464063, 1.1509724503464063, 1.1509724503464063, 1.1509724503464063, 1.1509724503464063, 1.1509724503464063]"
944,944,"[4.32, 5.207745432815996, 6.0985578208452065, 7.144555767588859, 7.472092936414999, 7.370309810656059, 7.332137417443922, 7.45513041105642, 7.807125114658757, 7.870766894108758, 7.8749930110149, 7.824093424020764, 7.768967114526895, 8.846631804170553, 8.9628126577576, 9.043749745683257, 9.139600264339478, 9.21884994332989, 9.218972197916742, 9.218722087638879, 9.21745740013359, 9.212558796446269, 9.210390808806931, 9.2108357083728, 9.20777960277125, 9.20777960277125, 9.20777960277125, 9.20777960277125, 9.20777960277125, 9.20777960277125, 9.20777960277125, 9.20777960277125, 9.20777960277125, 9.20777960277125, 9.20777960277125, 9.20777960277125, 9.20777960277125, 9.20777960277125, 9.20777960277125, 9.20777960277125]"
945,945,"[2.16, 2.603872716407998, 3.0492789104226032, 3.5722778837944293, 3.7360464682074994, 3.6851549053280297, 3.666068708721961, 3.72756520552821, 3.9035625573293786, 3.935383447054379, 3.93749650550745, 3.912046712010382, 3.8844835572634473, 4.423315902085276, 4.4814063288788, 4.521874872841629, 4.569800132169739, 4.609424971664945, 4.609486098958371, 4.6093610438194395, 4.608728700066795, 4.606279398223134, 4.6051954044034655, 4.6054178541864, 4.603889801385625, 4.603889801385625, 4.603889801385625, 4.603889801385625, 4.603889801385625, 4.603889801385625, 4.603889801385625, 4.603889801385625, 4.603889801385625, 4.603889801385625, 4.603889801385625, 4.603889801385625, 4.603889801385625, 4.603889801385625, 4.603889801385625, 4.603889801385625]"
946,946,"[4.86, 5.858713611917994, 6.860877548450857, 8.037625238537466, 8.406104553466873, 8.291598536988067, 8.248654594624412, 8.387021712438472, 8.783015753991101, 8.854612755872353, 8.859367137391763, 8.80210510202336, 8.740088003842757, 9.95246077969187, 10.0831642399773, 10.174218463893665, 10.282050297381913, 10.371206186246125, 10.371343722656334, 10.371062348593739, 10.36963957515029, 10.364128646002053, 10.361689659907796, 10.3621901719194, 10.358752053117655, 10.358752053117655, 10.358752053117655, 10.358752053117655, 10.358752053117655, 10.358752053117655, 10.358752053117655, 10.358752053117655, 10.358752053117655, 10.358752053117655, 10.358752053117655, 10.358752053117655, 10.358752053117655, 10.358752053117655, 10.358752053117655, 10.358752053117655]"
947,947,"[1.08, 1.301936358203999, 1.5246394552113016, 1.7861389418972147, 1.8680232341037497, 1.8425774526640148, 1.8330343543609804, 1.863782602764105, 1.9517812786646893, 1.9676917235271896, 1.968748252753725, 1.956023356005191, 1.9422417786317236, 2.211657951042638, 2.2407031644394, 2.2609374364208144, 2.2849000660848695, 2.3047124858324723, 2.3047430494791854, 2.3046805219097197, 2.3043643500333975, 2.303139699111567, 2.3025977022017328, 2.3027089270932, 2.3019449006928125, 2.3019449006928125, 2.3019449006928125, 2.3019449006928125, 2.3019449006928125, 2.3019449006928125, 2.3019449006928125, 2.3019449006928125, 2.3019449006928125, 2.3019449006928125, 2.3019449006928125, 2.3019449006928125, 2.3019449006928125, 2.3019449006928125, 2.3019449006928125, 2.3019449006928125]"
948,948,"[3.78, 4.556777253713996, 5.3362380932395554, 6.25148629664025, 6.538081319363123, 6.449021084324051, 6.415620240263431, 6.523239109674366, 6.831234475326412, 6.886921032345162, 6.8906188846380365, 6.846081746018168, 6.797846225211033, 7.740802828649232, 7.8424610755379, 7.913281027472849, 7.997150231297042, 8.066493700413652, 8.066600673177149, 8.066381826684019, 8.06527522511689, 8.060988946890484, 8.059091957706064, 8.059481244826198, 8.056807152424843, 8.056807152424843, 8.056807152424843, 8.056807152424843, 8.056807152424843, 8.056807152424843, 8.056807152424843, 8.056807152424843, 8.056807152424843, 8.056807152424843, 8.056807152424843, 8.056807152424843, 8.056807152424843, 8.056807152424843, 8.056807152424843, 8.056807152424843]"
949,949,"[3.24, 3.9058090746119962, 4.573918365633904, 5.358416825691643, 5.604069702311248, 5.527732357992044, 5.4991030630829405, 5.591347808292314, 5.855343835994067, 5.903075170581568, 5.906244758261175, 5.868070068015572, 5.826725335895171, 6.634973853127914, 6.722109493318199, 6.782812309262443, 6.8547001982546085, 6.914137457497416, 6.914229148437556, 6.91404156572916, 6.913093050100192, 6.909419097334701, 6.907793106605197, 6.9081267812795994, 6.905834702078437, 6.905834702078437, 6.905834702078437, 6.905834702078437, 6.905834702078437, 6.905834702078437, 6.905834702078437, 6.905834702078437, 6.905834702078437, 6.905834702078437, 6.905834702078437, 6.905834702078437, 6.905834702078437, 6.905834702078437, 6.905834702078437, 6.905834702078437]"
950,950,"[0.54, 0.6509681791019994, 0.7623197276056508, 0.8930694709486073, 0.9340116170518749, 0.9212887263320074, 0.9165171771804902, 0.9318913013820525, 0.9758906393323447, 0.9838458617635948, 0.9843741263768625, 0.9780116780025955, 0.9711208893158618, 1.105828975521319, 1.1203515822197, 1.1304687182104072, 1.1424500330424348, 1.1523562429162362, 1.1523715247395927, 1.1523402609548599, 1.1521821750166987, 1.1515698495557836, 1.1512988511008664, 1.1513544635466, 1.1509724503464063, 1.1509724503464063, 1.1509724503464063, 1.1509724503464063, 1.1509724503464063, 1.1509724503464063, 1.1509724503464063, 1.1509724503464063, 1.1509724503464063, 1.1509724503464063, 1.1509724503464063, 1.1509724503464063, 1.1509724503464063, 1.1509724503464063, 1.1509724503464063, 1.1509724503464063]"
951,951,"[3.24, 3.9058090746119962, 4.573918365633904, 5.358416825691643, 5.604069702311248, 5.527732357992044, 5.4991030630829405, 5.591347808292314, 5.855343835994067, 5.903075170581568, 5.906244758261175, 5.868070068015572, 5.826725335895171, 6.634973853127914, 6.722109493318199, 6.782812309262443, 6.8547001982546085, 6.914137457497416, 6.914229148437556, 6.91404156572916, 6.913093050100192, 6.909419097334701, 6.907793106605197, 6.9081267812795994, 6.905834702078437, 6.905834702078437, 6.905834702078437, 6.905834702078437, 6.905834702078437, 6.905834702078437, 6.905834702078437, 6.905834702078437, 6.905834702078437, 6.905834702078437, 6.905834702078437, 6.905834702078437, 6.905834702078437, 6.905834702078437, 6.905834702078437, 6.905834702078437]"
952,952,"[4.86, 5.858713611917994, 6.860877548450857, 8.037625238537466, 8.406104553466873, 8.291598536988067, 8.248654594624412, 8.387021712438472, 8.783015753991101, 8.854612755872353, 8.859367137391763, 8.80210510202336, 8.740088003842757, 9.95246077969187, 10.0831642399773, 10.174218463893665, 10.282050297381913, 10.371206186246125, 10.371343722656334, 10.371062348593739, 10.36963957515029, 10.364128646002053, 10.361689659907796, 10.3621901719194, 10.358752053117655, 10.358752053117655, 10.358752053117655, 10.358752053117655, 10.358752053117655, 10.358752053117655, 10.358752053117655, 10.358752053117655, 10.358752053117655, 10.358752053117655, 10.358752053117655, 10.358752053117655, 10.358752053117655, 10.358752053117655, 10.358752053117655, 10.358752053117655]"
953,953,"[4.86, 5.858713611917994, 6.860877548450857, 8.037625238537466, 8.406104553466873, 8.291598536988067, 8.248654594624412, 8.387021712438472, 8.783015753991101, 8.854612755872353, 8.859367137391763, 8.80210510202336, 8.740088003842757, 9.95246077969187, 10.0831642399773, 10.174218463893665, 10.282050297381913, 10.371206186246125, 10.371343722656334, 10.371062348593739, 10.36963957515029, 10.364128646002053, 10.361689659907796, 10.3621901719194, 10.358752053117655, 10.358752053117655, 10.358752053117655, 10.358752053117655, 10.358752053117655, 10.358752053117655, 10.358752053117655, 10.358752053117655, 10.358752053117655, 10.358752053117655, 10.358752053117655, 10.358752053117655, 10.358752053117655, 10.358752053117655, 10.358752053117655, 10.358752053117655]"
954,954,"[3.24, 3.9058090746119962, 4.573918365633904, 5.358416825691643, 5.604069702311248, 5.527732357992044, 5.4991030630829405, 5.591347808292314, 5.855343835994067, 5.903075170581568, 5.906244758261175, 5.868070068015572, 5.826725335895171, 6.634973853127914, 6.722109493318199, 6.782812309262443, 6.8547001982546085, 6.914137457497416, 6.914229148437556, 6.91404156572916, 6.913093050100192, 6.909419097334701, 6.907793106605197, 6.9081267812795994, 6.905834702078437, 6.905834702078437, 6.905834702078437, 6.905834702078437, 6.905834702078437, 6.905834702078437, 6.905834702078437, 6.905834702078437, 6.905834702078437, 6.905834702078437, 6.905834702078437, 6.905834702078437, 6.905834702078437, 6.905834702078437, 6.905834702078437, 6.905834702078437]"
955,955,"[1.62, 1.9529045373059981, 2.286959182816952, 2.6792084128458216, 2.802034851155624, 2.763866178996022, 2.7495515315414703, 2.795673904146157, 2.9276719179970336, 2.951537585290784, 2.9531223791305874, 2.934035034007786, 2.9133626679475855, 3.317486926563957, 3.3610547466590996, 3.3914061546312215, 3.4273500991273043, 3.457068728748708, 3.457114574218778, 3.45702078286458, 3.456546525050096, 3.4547095486673505, 3.4538965533025987, 3.4540633906397997, 3.4529173510392184, 3.4529173510392184, 3.4529173510392184, 3.4529173510392184, 3.4529173510392184, 3.4529173510392184, 3.4529173510392184, 3.4529173510392184, 3.4529173510392184, 3.4529173510392184, 3.4529173510392184, 3.4529173510392184, 3.4529173510392184, 3.4529173510392184, 3.4529173510392184, 3.4529173510392184]"
956,956,"[2.7, 3.254840895509997, 3.811598638028254, 4.465347354743036, 4.670058085259374, 4.606443631660037, 4.582585885902451, 4.659456506910262, 4.879453196661723, 4.9192293088179735, 4.921870631884312, 4.890058390012977, 4.855604446579309, 5.529144877606595, 5.6017579110985, 5.652343591052036, 5.712250165212174, 5.76178121458118, 5.7618576236979635, 5.7617013047742995, 5.760910875083494, 5.757849247778918, 5.7564942555043315, 5.756772317733, 5.754862251732031, 5.754862251732031, 5.754862251732031, 5.754862251732031, 5.754862251732031, 5.754862251732031, 5.754862251732031, 5.754862251732031, 5.754862251732031, 5.754862251732031, 5.754862251732031, 5.754862251732031, 5.754862251732031, 5.754862251732031, 5.754862251732031, 5.754862251732031]"
957,957,"[1.62, 1.9529045373059981, 2.286959182816952, 2.6792084128458216, 2.802034851155624, 2.763866178996022, 2.7495515315414703, 2.795673904146157, 2.9276719179970336, 2.951537585290784, 2.9531223791305874, 2.934035034007786, 2.9133626679475855, 3.317486926563957, 3.3610547466590996, 3.3914061546312215, 3.4273500991273043, 3.457068728748708, 3.457114574218778, 3.45702078286458, 3.456546525050096, 3.4547095486673505, 3.4538965533025987, 3.4540633906397997, 3.4529173510392184, 3.4529173510392184, 3.4529173510392184, 3.4529173510392184, 3.4529173510392184, 3.4529173510392184, 3.4529173510392184, 3.4529173510392184, 3.4529173510392184, 3.4529173510392184, 3.4529173510392184, 3.4529173510392184, 3.4529173510392184, 3.4529173510392184, 3.4529173510392184, 3.4529173510392184]"
958,958,"[4.32, 5.207745432815996, 6.0985578208452065, 7.144555767588859, 7.472092936414999, 7.370309810656059, 7.332137417443922, 7.45513041105642, 7.807125114658757, 7.870766894108758, 7.8749930110149, 7.824093424020764, 7.768967114526895, 8.846631804170553, 8.9628126577576, 9.043749745683257, 9.139600264339478, 9.21884994332989, 9.218972197916742, 9.218722087638879, 9.21745740013359, 9.212558796446269, 9.210390808806931, 9.2108357083728, 9.20777960277125, 9.20777960277125, 9.20777960277125, 9.20777960277125, 9.20777960277125, 9.20777960277125, 9.20777960277125, 9.20777960277125, 9.20777960277125, 9.20777960277125, 9.20777960277125, 9.20777960277125, 9.20777960277125, 9.20777960277125, 9.20777960277125, 9.20777960277125]"
959,959,"[4.86, 5.858713611917994, 6.860877548450857, 8.037625238537466, 8.406104553466873, 8.291598536988067, 8.248654594624412, 8.387021712438472, 8.783015753991101, 8.854612755872353, 8.859367137391763, 8.80210510202336, 8.740088003842757, 9.95246077969187, 10.0831642399773, 10.174218463893665, 10.282050297381913, 10.371206186246125, 10.371343722656334, 10.371062348593739, 10.36963957515029, 10.364128646002053, 10.361689659907796, 10.3621901719194, 10.358752053117655, 10.358752053117655, 10.358752053117655, 10.358752053117655, 10.358752053117655, 10.358752053117655, 10.358752053117655, 10.358752053117655, 10.358752053117655, 10.358752053117655, 10.358752053117655, 10.358752053117655, 10.358752053117655, 10.358752053117655, 10.358752053117655, 10.358752053117655]"
